Name        Default value       Current value	Description
a	        CC0000	            000000	        Background color
b	        100	                100	            Background opacity 0 - 100
c	        FFFFFF	            FFFFFF	        Title and icons color
d	        FFFFFF	            FFFFFF	        Group owner's msg, URL and background text color
e	        FFFFFF	            FFFFFF	        Messages background color
f	        100	                100 	        Messages background opacity 0 - 100
g	        000000	            000000	        Messages text color
h	        FFFFFF	            FFFFFF	        Input background color
i	        100	                100	            Input backround opacity 0 - 100
j	        000000	            000000	        Input text color
k	        CC0000	            000000	        Date color
l	        CC0000	            000000	        Border color
m	        CC0000	            000000	        Button color
n	        FFFFFF	            FFFFFF	        Button text color
o	        100	                100	            Button opacity 0 - 100
p	        10	                10	            Font size 9 - 18 (pixels)
q	        CC0000	            000000	        Main border color
r	        100	                100	            Main border visibility 0 or 1
s	        0	                0	            Rounded corners 0 or 1
t	        1	                1	            Messages sound toggle 0 or 1
v	        1	                1	            Show group name 0 or 1
w	        1	                1	            Show owners message 0 or 1
ab	        1	                1	            Show font styles on style bar 0 or 1
usricon	    1	                1	            Show user images on messages 0 or 1
pos	        none	            none	        Fixed position of Box or Tab view, Allowed values: none, br, bl, tr, tl
bpos        br	                br	
cv	        0	                0	            Collapsed view (Tab or Live button) 0 or 1
cvfnt	    sans-serif	        sans-serif	    Font family in the Tab or Live button veiw, A valid CSS font stack e.g.: font-family: Arial, "Helvetica Neue", Helvetica, sans-serif
cvfntsz	    13px	            13px	        Font size in the Tab or Live button view, A valid CSS font size
cvfntw	    normal	            lighter	        Font weight in the Tab or Live button view, A valid CSS font weight
cvbg	    CC0000	            000000	        Backround color of the Tab or Live button view
cvbga	    100	                100	            Background opacity of the Tab or Live button view
cvfg	    FFFFFF	            FFFFFF	        Font and icon color of the Tab or Live button view
cvw	        75	                200	            Width of the Tab or Live button view >120 (in pixels)
cvh	        30	                30	            Height of the Tab or Live button view > (in pixels)
sbc	        BBBBBB	            BBBBBB	        Scrollbar Color
sba	        100	                100	            Scrollbar Opacity 0-100
surl	    1	                1	            Show the URL for the full size group
allowpm	    1	                1	            Allow private messaging from the group
ticker	    1	                1	            Compact view with scrolling messages
cnrs	    0	                0.59	        Round corners 0 - 1 (em)
useonm	    0	                0	            Use on mobile embeds rather than opening full size
showhdr	    1	                1	            Show the group header
cntrhdr	    0	                0	            Center the group header
showx	    1	                1	            Show close button
fwtickm	    1	                1	            Displays as a full width ticker on mobile
